,,,,,,
Arena Matchings,,,,,,
,,,,,,
game_version,end_time,date,character,card_title,wins,player_id
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Flame Imp,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Zealous Initiate,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Darkbomb,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Bloodfen Raptor,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Dire Wolf Alpha,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Haunted Creeper,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Jeweled Scarab,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Micro Machine,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Pint-Sized Summoner,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Puddlestomper,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Puddlestomper,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Drain Life,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Coldlight Seer,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Flesheating Ghoul,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Mind Control tech,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Hellfire,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Eater of Secrets,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Infested Tauren,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Piloted Shredder,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Silvermoon Guardian,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Darkscale Healer,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Doomguard,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Floating Watcher,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Floating Watcher,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Ancient Harbinger,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Dread Infernal,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Lord of the Arena,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Reckless Rocketeer,3,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Faceless Behemoth,3,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Mortal Coil,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Soulfire,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Flame Imp,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Flame Imp,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Lowly Squire,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Possessed Villager,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Demonfire,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Amani Berserker,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Dark Peddler,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Loot Hoarder,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Succubus,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Shadow Bolt,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Dancing Swords,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Jungle Panther,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Mind Control tech,0,1
